"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","January 1, 2018 - January 1, 2018","TOR","D","2","11.8","6.35","14.23","-7.88","30.86","32.29","72.36","4.99","11.34","-6.35","30.56","25.37","57.66","4.37","9.59","-5.22","31.3","22.22","48.76","--","0.8","-0.8","--","--","4.07","0.26","0.51","-0.25","33.77","1.32","2.59","--","--","--","--","--","--","91.66","--","92.95","5.21","95.5","-5.21","-2.56","91.66","100.71","-9.06"
"Auston Matthews","January 1, 2018 - January 1, 2018","TOR","C","3","14.63","7.82","15.02","-7.2","34.24","32.07","61.6","5.23","11.91","-6.68","30.51","21.45","48.84","4.31","8.02","-3.71","34.96","17.68","32.89","--","1.01","-1.01","--","--","4.14","0.29","0.48","-0.19","37.66","1.19","1.97","2","1","-1","8.2","4.1","--","87.41","--","91.52","5.54","95.97","-5.54","-4.45","87.41","101.51","-14.11"
"Connor Brown","January 1, 2018 - January 1, 2018","TOR","R","2","8.93","4.54","11.76","-7.22","27.85","30.5","79.01","2.09","9.84","-7.75","17.52","14.04","66.11","2.06","6.25","-4.19","24.79","13.84","41.99","--","--","--","--","--","--","0.1","0.67","-0.57","12.99","0.67","4.5","3","1","-2","20.16","6.72","--","100","--","100","4.78","93.19","-4.78","6.81","100","97.98","2.02"
"Connor Carrick","January 1, 2018 - January 1, 2018","TOR","D","2","15.55","12.61","15.57","-2.96","44.75","48.66","60.08","7.93","12.89","-4.96","38.09","30.6","49.74","7.29","7.22","0.07","50.24","28.13","27.86","--","--","--","--","--","--","0.39","0.67","-0.28","36.79","1.5","2.59","1","--","-1","3.86","--","--","100","--","100","4.92","94.8","-4.92","5.2","100","99.72","0.28"
"Frederik Gauthier","January 1, 2018 - January 1, 2018","TOR","C","2","6.28","4.59","9.58","-4.99","32.39","43.85","91.53","3.09","8.62","-5.53","26.39","29.52","82.36","3.06","5.95","-2.89","33.96","29.24","56.85","--","--","--","--","--","--","0.15","0.56","-0.41","21.13","1.43","5.35","--","--","--","--","--","--","100","--","100","4.85","93.5","-4.85","6.5","100","98.36","1.64"
"Jake Gardiner","January 1, 2018 - January 1, 2018","TOR","D","2","19.15","14.77","17.13","-2.36","46.3","46.28","53.67","9.05","14.45","-5.4","38.51","28.36","45.27","7.33","7.32","0.01","50.03","22.97","22.93","--","--","--","--","--","--","0.36","0.81","-0.45","30.77","1.13","2.54","1","1","--","3.13","3.13","--","100","--","100","3.98","94.39","-3.98","5.61","100","98.37","1.63"
"James Van Riemsdyk","January 1, 2018 - January 1, 2018","TOR","L","2","12.22","9.24","14.2","-4.96","39.42","45.37","69.72","5.65","10.4","-4.75","35.2","27.74","51.06","3.31","9.39","-6.08","26.06","16.25","46.1","--","--","--","--","--","--","0.25","0.3","-0.05","45.45","1.23","1.47","--","1","1","--","4.91","--","100","--","100","4.42","97.12","-4.42","2.88","100","101.54","-1.54"
"Leo Komarov","January 1, 2018 - January 1, 2018","TOR","C","2","11.57","11.69","6.85","4.84","63.05","60.62","35.52","9.9","5.98","3.92","62.34","51.34","31.01","5.82","3.63","2.19","61.59","30.18","18.82","--","--","--","--","--","--","0.69","0.23","0.46","75","3.58","1.19","1","--","-1","5.19","--","--","100","--","100","6.97","96.15","-6.97","3.85","100","103.12","-3.12"
"Matt Martin","January 1, 2018 - January 1, 2018","TOR","L","1","5.65","3.6","6.54","-2.94","35.5","38.23","69.45","2.09","6.67","-4.58","23.86","22.19","70.83","2.06","4.1","-2.04","33.44","21.88","43.54","--","--","--","--","--","--","0.1","0.33","-0.23","23.26","1.06","3.5","1","--","-1","10.62","--","--","100","--","100","4.78","95.05","-4.78","4.95","100","99.84","0.16"
"Mitch Marner","January 1, 2018 - January 1, 2018","TOR","C","2","13.1","9.03","17.92","-8.89","33.51","41.36","82.08","5.48","13.06","-7.58","29.56","25.1","59.82","4.21","11.09","-6.88","27.52","19.28","50.79","--","0.8","-0.8","--","--","3.66","0.25","0.73","-0.48","25.51","1.15","3.34","--","1","1","--","4.58","--","92.79","--","93.87","4.56","94.41","-4.56","-0.54","92.79","98.97","-6.19"
